ObjectID,GlobalID,Date and Time,Notes about area assessed:,Select shrub subspecies,Shrub height (cm),Shrub width 1 (cm),Shrub width 2 (cm),Number of green Rhopalomyia californica galls,Number of dried Rhopalomyia californica galls,distinct areas of Puccinia evadens,Number of Gnorimoschema baccharisella galls,Presence of Aceria baccharipha galls,other notes,CreationDate,Creator,EditDate,Editor,x,y
19,e999af99-9d22-43ad-8da7-9f1b167fa93c,4/22/2021 9:20:00 PM,,Baccharis pilularis ssp. consanguinea,120,52,45,0,0,0,0,no,,4/22/2021 9:23:26 PM,mhibler_UCSDOnline,4/22/2021 9:23:26 PM,mhibler_UCSDOnline,-117.216518120949,32.8596353950285
20,486bd1d7-7029-4357-a8b5-f6595c0a5ae6,4/22/2021 9:28:00 PM,,,70,43,60,0,1,0,0,no,,4/22/2021 9:29:35 PM,mhibler_UCSDOnline,4/22/2021 9:29:35 PM,mhibler_UCSDOnline,-117.215985953917,32.8596104588666
21,fc1bc7c9-8c67-4aa3-a285-311723da484c,4/22/2021 9:27:00 PM,"No large plants near bush, north-facing slope",Baccharis pilularis ssp. consanguinea,110,190,150,7,3,2,,no,,4/22/2021 9:42:00 PM,aburquiz_UCSDOnline,4/22/2021 9:45:30 PM,aburquiz_UCSDOnline,-117.217120890577,32.8551636238382
22,d4f6328f-e603-4776-a44e-d91bce7e77ba,4/22/2021 9:46:00 PM,,Baccharis pilularis ssp. consanguinea,130,150,150,3,1,0,0,no,,4/22/2021 9:48:33 PM,mhibler_UCSDOnline,4/22/2021 9:48:33 PM,mhibler_UCSDOnline,-117.217669626807,32.8589467378639
23,3a039061-8dd7-48ff-8692-56c702737786,4/22/2021 9:45:00 PM,Growing on a slope,Baccharis pilularis ssp. consanguinea,30,32,12,1,1,,,yes,,4/22/2021 9:49:15 PM,aburquiz_UCSDOnline,4/22/2021 9:49:15 PM,aburquiz_UCSDOnline,-117.218013132375,32.8552387422403
24,fd644a34-0cd8-4548-8f23-3ef011e0d8ae,4/22/2021 9:49:00 PM,,Baccharis pilularis ssp. consanguinea,150,110,130,2,2,0,0,no,,4/22/2021 9:51:07 PM,mhibler_UCSDOnline,4/22/2021 9:51:07 PM,mhibler_UCSDOnline,-117.218058966209,32.8588807303764
25,8973b426-cc60-424a-a27b-9ab1d1ec2205,4/22/2021 9:36:00 PM,"North faving slope on side of trail, another bush next to it",Baccharis pilularis ssp. consanguinea,130,230,150,6,8,0,0,no,,4/22/2021 9:51:37 PM,s1lippma_UCSDOnline,4/22/2021 9:51:37 PM,s1lippma_UCSDOnline,-117.216897980393,32.8551646794159
26,a5ce23ee-d21f-4bf2-a950-deb06d6b2a0c,4/22/2021 9:52:00 PM,,Baccharis pilularis ssp. consanguinea,150,150,122,3,5,0,0,no,,4/22/2021 9:54:57 PM,mhibler_UCSDOnline,4/22/2021 9:54:57 PM,mhibler_UCSDOnline,-117.2180078366,32.8588505136155
27,c1ee3fa0-9736-4947-afc5-1d6a05cbbbcd,4/22/2021 9:52:00 PM,North facing slope in southern shadow underneath a bigger coyote brush plant ,Baccharis pilularis ssp. consanguinea,30,50,30,5,4,0,0,no,,4/22/2021 9:55:23 PM,s1lippma_UCSDOnline,4/22/2021 9:55:23 PM,s1lippma_UCSDOnline,-117.217990988975,32.8551904717766
28,e4fb10dd-1076-4c31-9ad9-ca3180e8fd73,4/22/2021 9:49:00 PM,Found near trail,Baccharis pilularis ssp. consanguinea,24,15,17,1,,,,no,,4/22/2021 9:58:24 PM,aburquiz_UCSDOnline,4/22/2021 9:58:24 PM,aburquiz_UCSDOnline,-117.217996503524,32.8552243171684
29,ab4da7ae-c415-46f2-87eb-1d6117b2f28b,4/22/2021 9:55:00 PM,"North facing slope, a little bit of shade from trees. This small brush is located underneath a larger plant. ",Baccharis pilularis ssp. consanguinea,22,14,7,0,1,0,0,no,,4/22/2021 9:58:59 PM,s1lippma_UCSDOnline,4/22/2021 9:58:59 PM,s1lippma_UCSDOnline,-117.217039915458,32.8553062837683
30,47ecbb97-d264-4770-b1a2-e960c701af01,4/22/2021 9:58:00 PM,,Baccharis pilularis ssp. consanguinea,98,77,59,4,2,0,0,no,,4/22/2021 10:00:44 PM,mhibler_UCSDOnline,4/22/2021 10:00:44 PM,mhibler_UCSDOnline,-117.218545284231,32.8589360928469
31,34def680-18e7-4be1-9db1-ee7a5a069d15,4/22/2021 9:59:00 PM,"North facing slope, relative shade, near patch on side of trail with other plants. ",Baccharis pilularis ssp. consanguinea,38,18,10,2,2,0,0,yes,,4/22/2021 10:02:09 PM,s1lippma_UCSDOnline,4/22/2021 10:02:09 PM,s1lippma_UCSDOnline,-117.218254432191,32.855306351588
32,07164636-96bd-42ee-9e20-03d83e9044ee,4/22/2021 10:03:00 PM,,Baccharis pilularis ssp. consanguinea,58,32,45,0,2,0,0,no,,4/22/2021 10:04:38 PM,mhibler_UCSDOnline,4/22/2021 10:04:38 PM,mhibler_UCSDOnline,-117.218484263976,32.8589793015577
33,1540f6e6-a83e-4d8f-b9b4-80771023b789,4/22/2021 9:58:00 PM,I counted this one trunk out of a large section of coyote brush.,Baccharis pilularis ssp. consanguinea,175,140,160,7,12,,,no,,4/22/2021 10:05:57 PM,aburquiz_UCSDOnline,4/22/2021 10:05:57 PM,aburquiz_UCSDOnline,-117.218307449495,32.8553379155183
34,559d1fd8-6599-4125-9caa-a54492479446,4/22/2021 10:05:00 PM,,Baccharis pilularis ssp. consanguinea,150,150,147,5,1,0,0,no,,4/22/2021 10:07:04 PM,mhibler_UCSDOnline,4/22/2021 10:07:04 PM,mhibler_UCSDOnline,-117.218720071066,32.8586731026265
35,15201c35-2e13-4f93-a8e7-6b932b90c789,4/22/2021 10:07:00 PM,Found among larger coyote brush.,Baccharis pilularis ssp. consanguinea,68,37,57,6,18,,,no,,4/22/2021 10:10:31 PM,aburquiz_UCSDOnline,4/22/2021 10:10:31 PM,aburquiz_UCSDOnline,-117.218121254249,32.8552938074422
36,4116f7c2-969b-421d-85a1-9c9999246159,4/22/2021 10:02:00 PM,"North facing slope on side of trail with grass underneath. all the green halls were on the south side of the bush, dried galls and rust on north side",,230,260,210,6,15,9,0,no,,4/22/2021 10:11:34 PM,s1lippma_UCSDOnline,4/22/2021 10:11:34 PM,s1lippma_UCSDOnline,-117.21840865921,32.8553606663205
37,930fc732-ac34-41cf-893b-9e1bb08d4dcf,4/22/2021 10:09:00 PM,,Baccharis pilularis ssp. consanguinea,150,150,122,0,0,5,1,no,,4/22/2021 10:11:38 PM,mhibler_UCSDOnline,4/22/2021 10:15:29 PM,mhibler_UCSDOnline,-117.21884401526,32.8587651439317
38,85c28895-959c-4f02-ae01-260224d36777,4/22/2021 10:12:00 PM,"North facing slope, on side of trail and located in some grass. ",Baccharis pilularis ssp. consanguinea,40,15,7,1,6,0,0,no,,4/22/2021 10:14:55 PM,s1lippma_UCSDOnline,4/22/2021 10:14:55 PM,s1lippma_UCSDOnline,-117.218251749982,32.8553384961866
39,b75ba1c8-7a5a-44a6-83cf-51ffa5d31e65,4/22/2021 10:13:00 PM,,Baccharis pilularis ssp. consanguinea,103,102,93,2,1,0,0,no,,4/22/2021 10:15:15 PM,mhibler_UCSDOnline,4/22/2021 10:15:15 PM,mhibler_UCSDOnline,-117.219697189229,32.858729315469
40,8f017ca5-cae1-4e0d-a6f9-5c6333c0ddc5,4/22/2021 10:13:00 PM,Found among other small coyote brush.,Baccharis pilularis ssp. consanguinea,30,11,10,1,2,,,no,,4/22/2021 10:16:05 PM,aburquiz_UCSDOnline,4/22/2021 10:16:05 PM,aburquiz_UCSDOnline,-117.218584424543,32.8554947252805
41,7f81ca35-564d-4db8-8685-b7dc31c04795,4/22/2021 10:15:00 PM,"North facing slope under tree with some shade, off side of trail",Baccharis pilularis ssp. consanguinea,21,11,6,1,0,1,0,no,,4/22/2021 10:17:26 PM,s1lippma_UCSDOnline,4/22/2021 10:17:26 PM,s1lippma_UCSDOnline,-117.218481833224,32.855323660218
42,9f69f20a-2eb4-44c4-988f-364577819002,4/22/2021 10:16:00 PM,,Baccharis pilularis ssp. consanguinea,32,24,15,1,,,,no,,4/22/2021 10:19:05 PM,aburquiz_UCSDOnline,4/22/2021 10:19:05 PM,aburquiz_UCSDOnline,-117.218562800306,32.8553528827038
43,2cd73ec2-cf52-4ef1-876c-6c187994a41b,4/22/2021 10:19:00 PM,,Baccharis pilularis ssp. consanguinea,118,61,79,3,1,1,0,no,,4/22/2021 10:21:36 PM,mhibler_UCSDOnline,4/22/2021 10:21:36 PM,mhibler_UCSDOnline,-117.220547301804,32.8579961043157
44,2efd0e7f-f65f-4a07-ab56-a6ec368c5f2a,4/22/2021 10:17:00 PM,"North slope, most of the galls were within a foot of the ground ",,94,155,103,11,11,0,1,no,,4/22/2021 10:22:29 PM,s1lippma_UCSDOnline,4/22/2021 10:22:29 PM,s1lippma_UCSDOnline,-117.218593312537,32.8553913859956
45,1db6bba3-90be-4f95-ae58-c5c285545f3a,4/22/2021 10:21:00 PM,,Baccharis pilularis ssp. consanguinea,148,124,56,5,0,0,0,no,,4/22/2021 10:23:51 PM,mhibler_UCSDOnline,4/22/2021 10:23:51 PM,mhibler_UCSDOnline,-117.220697589328,32.8580265725338
46,637b5ec4-3b49-4d7c-9f08-650abc2b9213,4/22/2021 10:19:00 PM,Found among some sage.,Baccharis pilularis ssp. consanguinea,44,26,28,1,1,,,no,,4/22/2021 10:23:56 PM,aburquiz_UCSDOnline,4/22/2021 10:23:56 PM,aburquiz_UCSDOnline,-117.218653156256,32.8553910647976
47,66df050a-b234-469b-8508-f4bd81865ebc,4/22/2021 10:26:00 PM,,Baccharis pilularis ssp. consanguinea,150,118,99,5,2,0,0,no,,4/22/2021 10:29:07 PM,mhibler_UCSDOnline,4/22/2021 10:29:07 PM,mhibler_UCSDOnline,-117.220565993448,32.8581386385792
48,e1f1f5cc-152c-4143-8c92-f833e5d84ba4,4/22/2021 10:31:00 PM,"Right on edge of path, on a north-facing slope.",Baccharis pilularis ssp. consanguinea,66,84,58,1,3,,,yes,,4/22/2021 10:36:41 PM,aburquiz_UCSDOnline,4/22/2021 10:36:41 PM,aburquiz_UCSDOnline,-117.220064860945,32.8554017498014
49,7efc0277-2a94-4ccb-9ab4-06d3a6bed4c4,4/22/2021 10:39:00 PM,Found towards bottom of canyon.,Baccharis pilularis ssp. consanguinea,127,142,108,1,2,,,no,,4/22/2021 10:44:29 PM,aburquiz_UCSDOnline,4/22/2021 10:44:29 PM,aburquiz_UCSDOnline,-117.22102317323,32.8581949753649
50,493456e4-c035-4e35-9de4-71ee81b4474d,4/22/2021 10:49:00 PM,Near bottom of Rose Canyon.,Baccharis pilularis ssp. consanguinea,38,42,41,6,1,,,no,,4/22/2021 10:51:45 PM,aburquiz_UCSDOnline,4/22/2021 10:51:45 PM,aburquiz_UCSDOnline,-117.220466689364,32.8563911428415
51,75158c02-184b-48d7-8ae5-898380a7d6be,4/22/2021 10:53:00 PM,,Baccharis pilularis ssp. consanguinea,49,41,27,,,,,no,,4/22/2021 10:56:19 PM,aburquiz_UCSDOnline,4/22/2021 10:56:19 PM,aburquiz_UCSDOnline,-117.220722979361,32.8564404551446
52,6d5d1050-ecc4-4e21-991d-a48ceee2492e,4/22/2021 10:57:00 PM,Found near bottom of canyon.,Baccharis pilularis ssp. consanguinea,34,27,20,,,,,yes,,4/22/2021 10:59:03 PM,aburquiz_UCSDOnline,4/22/2021 10:59:03 PM,aburquiz_UCSDOnline,-117.220416776489,32.8578098153342
53,b9a95409-83ef-47ea-b7da-24a9c353ca90,4/22/2021 11:13:00 PM,located in scripps hiking trail behind grad housing hiking trail along the paved trail. Hilly an dry  gradient with a bunch of dry shrubs ,Baccharis pilularis ssp. consanguinea,155,36,20,1,3,0,0,no,presence of red/purple on the green galls,4/22/2021 11:20:12 PM,ncirrito_UCSDOnline,4/22/2021 11:31:09 PM,ncirrito_UCSDOnline,-117.24685209163,32.8707455053891
54,ead43e9f-ed1d-406d-af1a-6880468b332e,4/22/2021 10:23:00 PM,"Near a tree on north facing trail, fennel plant was growing with it",Baccharis pilularis ssp. consanguinea,36,22,23,5,2,0,0,no,,4/22/2021 11:22:21 PM,s1lippma_UCSDOnline,4/22/2021 11:22:21 PM,s1lippma_UCSDOnline,-117.218682412167,32.8553964989566
55,912d6a79-faa3-449a-869a-81a8ffe04376,4/22/2021 10:31:00 PM,In a patch underneath a longer brush off side of trail,Baccharis pilularis ssp. consanguinea,45,63,47,2,3,0,0,no,,4/22/2021 11:22:23 PM,s1lippma_UCSDOnline,4/22/2021 11:22:23 PM,s1lippma_UCSDOnline,-117.218097620271,32.8555825723075
56,6a59eee8-a75a-4bfc-8044-f0f5b693c4f7,4/22/2021 10:34:00 PM,"Off side of trail, not many leaves ",Baccharis pilularis ssp. consanguinea,43,23,21,1,3,0,0,yes,,4/22/2021 11:22:24 PM,s1lippma_UCSDOnline,4/22/2021 11:22:24 PM,s1lippma_UCSDOnline,-117.219723109265,32.8554640151866
57,ba388489-6814-4278-a1f3-7daab38425a9,4/22/2021 10:39:00 PM,Side of trail next to another plant. Most of the green galls were on the south facing side of the brush ,Baccharis pilularis ssp. consanguinea,85,78,74,12,8,1,0,no,,4/22/2021 11:22:26 PM,s1lippma_UCSDOnline,4/22/2021 11:22:26 PM,s1lippma_UCSDOnline,-117.220858168409,32.8584082974318
58,4b25da9d-7fd9-4c50-8149-cc695b73d0e6,4/22/2021 10:43:00 PM,Off side of trail on grass,Baccharis pilularis ssp. consanguinea,40,61,46,0,1,0,0,no,,4/22/2021 11:22:27 PM,s1lippma_UCSDOnline,4/22/2021 11:22:27 PM,s1lippma_UCSDOnline,-117.220276063417,32.8559947153859
59,b3a8db01-2054-4468-8cd6-1e00c0f668df,4/22/2021 10:46:00 PM,Off side of trail near larger brush plants ,Baccharis pilularis ssp. consanguinea,88,116,72,4,3,0,0,yes,,4/22/2021 11:22:28 PM,s1lippma_UCSDOnline,4/22/2021 11:22:28 PM,s1lippma_UCSDOnline,-117.220458285992,32.8562493156948
60,c296cfc4-b514-48f2-862b-2df2dc49164d,4/22/2021 10:55:00 PM,Near a lot of larger brush plants ,Baccharis pilularis ssp. consanguinea,103,111,70,2,4,1,0,no,,4/22/2021 11:22:29 PM,s1lippma_UCSDOnline,4/22/2021 11:22:29 PM,s1lippma_UCSDOnline,-117.220053559826,32.8588492146379
61,1804dd98-bd19-4da1-b627-7a83f0530097,4/22/2021 11:20:00 PM,Along path in scripps knoll hiking trail. Hilly dry gradient with a lot of surrounding shrubs.,Baccharis pilularis ssp. consanguinea,140,140,160,0,4,0,0,no,,4/22/2021 11:25:10 PM,pbonebra_UCSDOnline,4/22/2021 11:28:24 PM,pbonebra_UCSDOnline,-117.245945300859,32.8702455261613
62,b9e3c2a1-0017-495c-9b14-c3374a52b05c,4/22/2021 11:21:00 PM,Found along the scripps hiking trail behind grad housing. Very dry and low growing brush with minimal greenery. Dirt/sandy base ,Baccharis pilularis ssp. consanguinea,126,120,93,1,0,0,0,no,very bare plant with only one green gall (had a bit of purple on it),4/22/2021 11:29:19 PM,ncirrito_UCSDOnline,4/22/2021 11:32:31 PM,ncirrito_UCSDOnline,-117.245882922684,32.8702423932237
63,1d67d135-2644-467a-8255-2ca773d56bbe,4/22/2021 11:28:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,140,150,160,0,4,0,0,no,,4/22/2021 11:31:57 PM,pbonebra_UCSDOnline,4/22/2021 11:31:57 PM,pbonebra_UCSDOnline,-117.245966870037,32.8702165523248
64,96a44f05-4e35-4a7e-ac77-cfd26dd58125,4/22/2021 11:33:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,116,66,64,5,0,0,1,no,,4/22/2021 11:36:47 PM,pbonebra_UCSDOnline,4/22/2021 11:36:47 PM,pbonebra_UCSDOnline,-117.246043270725,32.8701476601313
65,0785b949-6284-460c-a2ee-625b1baea18a,4/22/2021 11:34:00 PM,Located in the Scripps hiking trail behind Graduate Housing. The area is full of low laying coyote brush and other dry shrubs. Very dry environment with few trees. Found right on the side of the trail. ,Baccharis pilularis ssp. consanguinea,92,76,62,5,2,0,1,no,,4/22/2021 11:39:12 PM,ncirrito_UCSDOnline,4/22/2021 11:39:12 PM,ncirrito_UCSDOnline,-117.246167669757,32.8701418523921
66,2b93fae9-3e69-410b-97a7-4b0d7568362a,4/22/2021 11:38:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,77,30,20,0,2,0,0,no,,4/22/2021 11:40:18 PM,pbonebra_UCSDOnline,4/22/2021 11:40:18 PM,pbonebra_UCSDOnline,-117.246290708429,32.8701640824547
67,f4010e19-535d-4dd5-90cf-81ebd7266819,4/22/2021 11:40:00 PM,Located in the Scripps hiking trail behind Graduate Housing. The area is full of low laying coyote brush and other dry shrubs. Very dry environment with few trees. Found right on the side of the trail. ,Baccharis pilularis ssp. consanguinea,106,54,40,0,1,0,0,no,,4/22/2021 11:42:24 PM,ncirrito_UCSDOnline,4/22/2021 11:42:24 PM,ncirrito_UCSDOnline,-117.245958001383,32.8700710559393
68,e84aff97-e58f-400e-919f-b36117f49a76,4/22/2021 11:41:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,97,16,24,1,1,0,0,no,,4/22/2021 11:43:11 PM,pbonebra_UCSDOnline,4/22/2021 11:43:11 PM,pbonebra_UCSDOnline,-117.246039209962,32.8701199755985
69,1f124582-fd64-4099-a654-9d8fc491a6a5,4/22/2021 11:48:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,125,60,68,0,0,18,0,no,,4/22/2021 11:49:39 PM,pbonebra_UCSDOnline,4/22/2021 11:49:39 PM,pbonebra_UCSDOnline,-117.247044398542,32.8696235143357
70,4b511425-e2bb-45cb-8738-57bcf86a4b6a,4/22/2021 11:47:00 PM,Located along Expedition Way on the way to the Birch Aquariam. Found a ha sleep hill gradient near other types of shrubs ,Baccharis pilularis ssp. consanguinea,120,62,70,0,0,12,0,no,,4/22/2021 11:50:39 PM,ncirrito_UCSDOnline,4/22/2021 11:50:39 PM,ncirrito_UCSDOnline,-117.246771159003,32.8694667717878
71,b2c669c4-646b-46b7-be1c-fa4584bf2834,4/22/2021 11:59:00 PM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,65,65,50,2,0,0,0,no,,4/23/2021 12:01:00 AM,pbonebra_UCSDOnline,4/23/2021 12:01:00 AM,pbonebra_UCSDOnline,-117.246286633816,32.8698202073307
72,4821d6ea-5398-456e-b315-8ff9c9a56dca,4/23/2021 12:02:00 AM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,60,15,10,0,5,0,1,no,,4/23/2021 12:03:15 AM,pbonebra_UCSDOnline,4/23/2021 12:03:15 AM,pbonebra_UCSDOnline,-117.244962741005,32.8694595443153
73,7e974274-0569-4a3b-a420-0ddebeb1f7d4,4/23/2021 12:01:00 AM,Located on hiking trail across the street from ucsd gradua tree housing.The area is full of low laying coyote brush and other dry shrubs. Very dry environment with few trees. Found right on the side of the trail.   ,Baccharis pilularis ssp. consanguinea,62,21,12,4,0,0,0,no,,4/23/2021 12:04:01 AM,ncirrito_UCSDOnline,4/23/2021 12:04:01 AM,ncirrito_UCSDOnline,-117.24488489309,32.8694284350657
74,dcf40361-a06a-44ef-a1aa-e4c8fdd9e1bc,4/23/2021 12:03:00 AM,"Along the scripps hiking trail behind UCSD grad housing units. Dry and hilly gradient with surrounding shrubs, grasses, and trees. Mostly exposed. Dirt/sand base with a lot of dead plant matter.",Baccharis pilularis ssp. consanguinea,50,20,20,4,1,0,0,no,Small and growing out of other shrubs along path,4/23/2021 12:05:26 AM,pbonebra_UCSDOnline,4/23/2021 12:05:26 AM,pbonebra_UCSDOnline,-117.244869438662,32.8694829406656
75,9b83c71e-3091-4425-8539-9c0c9b066be3,4/23/2021 12:05:00 AM,Located in the Scripps hiking trail across from Graduate Housing. The area is full of low laying coyote brush and other dry shrubs. Very dry environment with few trees. Found right on the side of the trail. ,Baccharis pilularis ssp. consanguinea,122,140,62,8,0,0,0,no,a number of green galls had purple/red on them,4/23/2021 12:07:36 AM,ncirrito_UCSDOnline,4/23/2021 12:07:36 AM,ncirrito_UCSDOnline,-117.244576638308,32.8694031876265
